id,en,zh,py,vi,vi2
0,I see.,我明白了。,Wǒ míngbáile.,Tôi hiểu rồi.,ta hiểu được .
1,I quit!,我不干了!,Wǒ bù gān le!,Tôi sẽ không làm thế!,ta không làm !
2,Let go!,放手!,Fàngshǒu!,Buông ra!,buông tay !
3,Me too.,我也是。,Wǒ yěshì.,Tôi cũng vậy.,ta cũng vậy .
4,My god!,天哪!,Tiān nǎ!,Chúa ơi!,trời ạ !
5,No way!,不行!,Bùxíng!,"Không, tôi không thể!",không được !
6,Come on．,来吧 (赶快),Lái ba (gǎnkuài),Đi vào nhanh lên),đến đây đi ( nhanh )
7,Hold on.,等一等。,děng yī děng.,Chờ một chút.,chờ một chút .
8,I agree.,我同意。,Wǒ tóngyì.,Tôi đồng ý.,ta đồng ý .
9,Not bad.,还不错。,Hái bùcuò.,Không tệ lắm.,còn không tệ .
10,Not yet.,还没。,Hái méi.,Chưa đâu.,còn chưa .
11,See you.,再见。,Zàijiàn.,Tạm biệt.,còn gặp lại .
12,Shut up!,闭嘴!,Bì zuǐ!,Câm miệng lại!,câm miệng !
13,So long.,再见。,Zàijiàn.,Tạm biệt.,còn gặp lại .
14,Why not?,好呀! (为什么不呢?),Hǎo ya! (Wèishéme bù ne?),Được rồi! (Tại sao không?),tốt lắm ! ( vì sao không đâu ?)
15,Allow me.,让我来。,Ràng wǒ lái.,Hãy để tôi làm điều đó.,để ta tới .
16,Be quiet!,安静点!,Ānjìng diǎn!,Im lặng đi!,yên tĩnh chút !
17,Cheer up!,振作起来!,Zhènzuò qǐlái!,Vui lên!,tỉnh lại lên !
18,Good job!,做得好!,Zuò dé hǎo!,Làm tốt lắm!,làm tốt !
19,Have fun!,玩得开心!,Wán dé kāixīn!,Hãy vui vẻ!,chơi đến vui vẻ !
20,How much?,多少钱?,Duōshǎo qián?,Bao nhiêu?,bao nhiêu tiền ?
21,I'm full.,我饱了。,Wǒ bǎole.,Tôi no rồi.,ta đã no đầy đủ .
22,I'm home.,我回来了。,Wǒ huíláile.,Tôi đã trở lại.,ta trở về .
23,I'm lost.,我迷路了。,Wǒ mílùle.,Tôi bị lạc.,ta lạc đường .
24,My treat.,我请客。,Wǒ qǐngkè.,Tôi mời.,ta mời khách .
25,So do I.,我也一样。,Wǒ yě yīyàng.,Tôi cũng vậy.,ta cũng giống nhau .
26,This way.,这边请。,Zhè biān qǐng.,Xin hãy làm ơn ở đây.,mời tới bên này .
27,After you.,您先。,Nín xiān.,Bạn đầu tiên.,ngài trước .
28,Bless you!,祝福你!,Zhùfú nǐ!,Ban phước cho bạn!,chúc phúc ngươi !
29,Follow me.,跟我来。,Gēn wǒ lái.,Đi với tôi.,đi theo ta .
30,Forget it!,休想! (算了! ),Xiūxiǎng! (Suànle! ),Hãy quan tâm! (Quên nó đi!),đừng nghĩ ! ( quên đi ! )
31,Good luck!,祝好运!,Zhù hǎoyùn!,Chúc may mắn!,chúc hảo vận !
32,I decline!,我拒绝!,Wǒ jùjué!,Tôi từ chối!,ta cự tuyệt !
33,I promise.,我保证。,Wǒ bǎozhèng.,Tôi hứa.,ta bảo đảm .
34,Of course!,当然了!,Dāngránle!,Tất nhiên rồi!,đương nhiên !
35,Slow down!,慢点!,Màn diǎn!,Chậm lại!,chậm chút !
36,Take care!,保重!,Bǎozhòng!,Hãy chăm sóc!,bảo trọng !
37,They hurt．,(伤口)疼。, (Shāngkǒu) téng.,(Vết thương) đau.,( vết thương ) đau .
38,Try again.,再试试。,Zàishì shì.,Hãy thử lại lần nữa.,thử lại thử .
39,Watch out!,当心。,Dāngxīn.,Coi chừng.,coi chừng .
40,What's up?,有什么事吗?,Yǒu shén me shì ma?,Có chuyện gì vậy?,có chuyện gì không ?
41,Be careful!,注意!,Zhùyì!,Chú ý!,chú ý !
42,Bottoms up!,干杯 (见底)!,Gānbēi (jiàn dǐ)!,Bánh mì nướng (dưới cùng)!,cạn ly ( thấy đáy )!
43,Don't move!,不许动!,Bùxǔ dòng!,Đừng nhúc nhích!,không được nhúc nhích !
