id,zh,py,en,vi,HSK,s1zh,s1py,s1en,s1vi
1,爱,ài,"to love, affection, to be fond of, to like",yêu,1,他极为大家所爱戴。,tā jíwéi dàjiā suǒ àidài,He is held in affection.,hắn cực kỳ lớn cô chỗ kính yêu .
2,八,bā,"eight, 8",tám,1,五加三的总和是八。,wǔ jiā sān de zǒnghé shì bā,The sum of 5 and 3 is 8.,cây ngũ gia bì ba tổng cộng là tám .
3,爸爸,bà ba,(informal) father,papa,1,爸爸每天早上走路去上班。,bàba měitiān zǎoshang zǒulù qù shàngbān,Father walks to his office every morning.,papa mỗi sáng sớm đi đường đi làm .
4,杯子,bēi zi,"cup, glass",cốc,1,这杯子碎了。,zhè bēizi suì le,The glass shattered.,cái này cốc nát .
5,北京,Běi jīng,"Beijing, capital of People's Republic of China, Peking, PRC government",bắc kinh,1,北京广播电台向全世界播送新闻。,Běijīng guǎngbōdiàntái xiàng quánshìjiè bōsòng xīnwén,Radio Beijing sends the news all over the world.,"bắc kinh đài phát thanh hướng toàn thế giới phát, truyền thanh tin tức ."
6,本,běn,"roots or stems of plants, origin, source, this, the current, root, foundation, basis, classifier for books, periodicals, files etc, originally",bản,1,把这本书给她。,bǎ zhè běn shū gěi tā,Give her the book.,đem quyển sách này cho nàng .
7,不客气,bù kè qi,"you're welcome, impolite, rude, blunt, don't mention it",không khách khí,1,如果你不老实话，我定会对你不客气。,rúguǒ nǐ bù lǎoshi huà wǒ dìng huì duì nǐ bùkèqi,If you don't behave I'll come down on you with heavy hand.,"nếu ngươi không thành thật lời nói , ta chắc chắn đối với ngươi không khách khí ."
8,不,bù,"(negative prefix), not, no",không,1,不用麻烦了。,bùyòng máfan le,Don't bother.,không cần làm phiền .
9,菜,cài,"dish (type of food), vegetables, vegetable, cuisine",rau,1,请把菜单给我。,qǐng bǎ càidān gěi wǒ,Please show me the menu.,xin đem menu cho ta .
10,茶,chá,"tea, tea plant",trà,1,我们在下午四点钟喝茶。,wǒmen zài xiàwǔ sì diǎnzhōng hē chá,We have tea at four o'clock in the afternoon.,chúng ta tại xế chiều bốn giờ uống trà .
11,吃,chī,"to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer",ăn,1,他不喜欢吃鱼。,tā bù xǐhuan chī yú,He doesn't care for fish.,hắn không thích ăn cá .
12,出租车,chū zū chē,"taxi, (Taiwan) rental car",xe taxi,1,那辆出租车飞快地开走了。,xuěhuā qīngqīng pāidǎ zhe chuānghu,The taxi sped off at full speed.,xe taxi kia rất nhanh lái đi .
13,打电话,dǎ diàn huà,to make a telephone call,gọi điện thoại,1,我正准备打电话给你。,wǒ zhèng zhǔnbèi dǎdiànhuà gěi nǐ,I was just about to call you.,ta đang chuẩn bị gọi điện thoại cho ngươi .
14,大,dà,"big, huge, large, major, great, wide, deep, oldest, eldest",lớn,1,他比我大两岁。,tā bǐ wǒ dà liǎng suì,He is my senior by two years.,hắn lớn hơn ta hai tuổi .
15,的,de,"of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis)",,1,不是我的错。,bùshì wǒ de cuò,It's not my fault.,không phải lỗi của ta .
16,点,diǎn,"point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[gēng], dot stroke in Chinese characters, classifier for items",chút,1,我们是六点出发的.,wǒmen shì liù diǎn chūfā de,We started at six.,chúng ta là sáu giờ xuất phát .
17,电脑,diàn nǎo,computer,máy tính,1,我得到一台电脑作生日礼物。,wǒ dédào yī tái diànnǎo zuò shēngrì lǐwù,I'm getting a new computer for birthday present.,ta phải đến một đài máy tính làm quà sinh nhật .
18,电视,diàn shì,"television, TV",điện xem,1,她常常一边看电视一边织毛衣。,tā chángcháng yībiān kàn diànshì yībiān zhī máoyī,She often knits while watching TV.,nàng thường thường một bên xem tivi một bên dệt áo len .
19,电影,diàn yǐng,"movie, film",phim chiếu rạp,1,这些电影只适宜成人观看。,zhèxiē diànyǐng zhǐ shìyí chéngrén guānkàn,These films are suitable for adults only.,những thứ này phim chiếu rạp chỉ thích nghi trưởng thành quan sát .
20,东西,dōng xi,"thing, stuff, person",gì đó,1,妈妈准备了好吃的东西给我。,māma zhǔnbèi le hǎochī de dōngxi gěi wǒ,Mother has something delicious in store for me.,mama chuẩn bị ăn ngon thứ gì đó cho ta .
21,都,dōu,"all, both, entirely, (used for emphasis) even, already, (not) at all",đều,1,都是我的错。,dōu shì wǒ de cuò,It's all my fault.,đều là lỗi của ta .
22,读,dú,"to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pīn yīn]",đọc,1,我不喜欢读他的文学批评。,wǒ bù xǐhuan dú tā de wénxué pīpíng,I don't like to read his literary criticism.,ta không thích đọc hắn phê bình văn học .
23,对不起,duì bu qǐ,"unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)",thật xin lỗi,1,我只想说对不起。,wǒ zhǐ xiǎng shuō duìbuqǐ,I want to say nothing but sorry.,ta chỉ muốn nói thật xin lỗi .
24,多,duō,"many, much, a lot of, numerous, more, in excess, how (to what extent), multi-",nhiều,1,我有许多唱片。,wǒ yǒu xǔduō chàngpiàn,I have many discs.,ta có thật nhiều đĩa nhạc .
25,多少,duō shao,"how much, how many, which (number), as much as",bao nhiêu,1,他的意见没多少影响。,tā de yìjiàn méi duōshao yǐngxiǎng,His opinion doesn't carry much weight.,ý của hắn thấy không nhiều ít ảnh hưởng .
26,儿子,ér zi,son,con trai,1,我儿子上小学三年级.,wǒ érzi shàng xiǎoxué sān niánjí,My son's in the third grade.,con trai ta lên tiểu học lớp 3 .
27,二,èr,"two, 2, stupid (Beijing dialect)",hai,1,六除以二得三。,liù chúyǐ èr dé sān,Six divided by two is three.,sáu chia cho hai được ba .
28,饭馆,fàn guǎn,restaurant,tiệm cơm,1,那是我以前最喜欢的饭馆，但近来烹饪水平已大不如前了。,nàshi wǒ yǐqián zuì xǐhuan de fànguǎn dàn jìnlái pēngrèn shuǐpíng yǐ dà bùrú qián le,It used to be my favourite restaurant but the standard of cooking has fallen off recently.,"đó là ta trước kia thích nhất, tiệm cơm , nhưng gần đây nấu nướng trình độ đã lớn không bằng trước ."
29,飞机,fēi jī,airplane,máy bay,1,这架飞机是适于飞行的。,zhè jià fēijī shì shì yú fēixíng de,The airplane is airworthy.,chiếc máy bay này là vu phi làm được .
30,分钟,fēn zhōng,minute,phút,1,我的表慢五分钟。,wǒ de biǎo màn wǔ fēnzhōng,My watch is five minutes slow.,ta biểu chậm năm phần chuông .
31,高兴,gāo xìng,"happy, glad, willing (to do sth), in a cheerful mood",vui vẻ,1,很高兴认识你。,hěn gāoxìng rènshi nǐ,It's nice meeting you.,vô cùng vui vẻ nhận thức ngươi .
32,个,gè,variant of 個|个[gè],cái,1,他是一个高大的男孩。,tā shì yī gè gāodà de nánhái,He is a tall boy.,hắn là một cái cao lớn cậu trai .
33,工作,gōng zuò,"to work, (of a machine) to operate, job, work, task",công việc,1,他在一所中学工作。,tā zài yī suǒ zhōngxué gōngzuò,He works in a secondary school.,hắn ở đây một chỗ trung học công việc .
