w,pron,fra,spa,hin,deu,jpn,fin,bul,nor,dan,ara,ces,cym,ell,gle,hrv,hun,ita,lat,lit,nld,pol,por,rom,rus,srp,swe,swh,tur,afr
a,ə,"à, au milie de, en, dans, parmi, un, quelqu'un, àraisonde, par, une","unas, unos","एक, I bought a pen.",,エー,aa,,,,,nějaký,,,"i, duine éigin","jedan, k, na, neki, u","egy bizonyos, egy","a, dentro",aliquis,,een,,"primeira letra do alfabeto, um, uma",,"в, на, кто‐то","у, когод, неко",länge,,"ingiliz alfabesinin ilk harfi, birinci kalite veya derece, (müz.) la notası, la perdesi, (A.B.D.) en yüksek not.","geruime tyd, lank"
abandon,əbændən,"abdiquer, abandonner, délaisser, livrer, quitter, renoncer, résigner",abandonar,"छोड़~देना, A baby abandoned by its parents was found here.",,"捨てる, 見捨てる, 手放す, 放棄, 断念, 放置, 見捨てる, 放棄, 明け渡す","huolettomuus, riehakkuus","изоставям, напускам, отказвам се от",,"forlade, opgive",,opustit,,,,"napustiti, odreći se, okaniti se, ostavili, ostaviti, ostaviti na cjedilu, predati, prepustiti",fesztelen viselkedés,abbandonare,,"laisvumas, nesivaržymas, palikti, pamesti (šeimą, laivą ir pan.), nustoti (ką darius), mesti, atsisakyti, pasiduoti (jausmui), pasinerti (to)",,,"abandonar, desamparar, abrir mão de, renunciar, resignar",,,,lämna,,"tamamıyle bırakmak, terketmek, başından atmak, kendini tamamıyla vermek, kendini kaptırmak.","verlaat, afsien"
abandoned,əbændənd,"abandonné, abject, immoral, malsain",,"छोड़ा~हुआ, Abandoned children are kept in orphanages.",,,"pidäkkeetön, rajaton, hylätty, paatunut","изоставен, разпуснат, разпусната",løssluppen,,,nemravný,,,,"napušten, napuštene, napušteno, nezbrinut, nezbrinutu, ostavljen, ozloglašen, raskalašen, raspušten",elhagyott,,,"paliktas, pamestas, nevaržomas, beatodairiškas, nedoras",,,abandonado,,,,skamlös,,"metruk, terk edilmiş, hayâsız, ahlâksız.",immoreel
ability,əbilitiː,"aptitude, capacité, habilité","capacidad, habilidad, poder, virtud, disposición","योग्यता, He has the ability to solve complex mathematical problems.",,"才能, 能力, 能力","kyky, kyky, taito, kyky, kyvykkyys, taito","дарба, способност, умение, кадърност, вещина́, ло́вкост",evne,,,zručnost,,,,"darovitost, mogućnost, moć, platežna sposobnost, podobnost, sposobnost, sposobnosti, spretnost, svojstvo, vještina","képesség, tehetség","abilità, capacità","ops, capacitas","galėjimas, sugebėjimas, gabumai, (teis.) veiksnumas, kompetencija",,,"habilidade, capacidade, faculdade, poder, habilitação",,,,makt,,"iktidar, yetenek, kabiliyet, marifet, hüner, dirayet, zekâ, (huk.) ehliyet, kudret abilities  kabiliyetler, hassalar, melekeler.","bekwaamheid, vermoë, kwalifikasie, mag"
able,eibl,"apte à, capable, compétent, qualifié","capaz, hábil","समर्थ, Ram was able to lift the suitcase., चतुर, Ram is the most able student in his class.",,れる,"pätevä, kykenevä, pystyvä, vapaa, pystyvä, taitava, hyvä","компетентен, компетентен, позволен, в състояние да, способен, умел, годен",i stand,,,zdatný,galluog,,,"kadar, kadra, moći, obdaren, sposoban, vješt","képes, ügyes, rátermett, tehetséges, alkalmas","abile, adatto, capace, idoneo",,"galintis, pajėgus, sugebąs, gabus, sumanus","in staat om, bereid",,"apto, hábil, capaz, autorizado, competente, habilitado",,способный,способан,kompetent,,"güçlü, muktedir, kadir, istidadı  olan, hünerli, becerikli, yetkili able-bodied   vücudu sağlam olan güçlü able-bodied  seaman gemici tayfa.","bekwaam, geskoolde"
about,əbaut,"concernant, quant à, au sujet de, à peu près, aux bords de, environ, autour de, parages","en cuanto a, por lo tocante a, respecto de, a eso de, apróximadamente, cerca de, alrededor de, en torno de","चारो~ओर, The boys were climbing about on the rocks., इधर~उधर, Boys were sitting about in the park., लगभग, She is about to finish her homework., बहुत~हो~गया, I've had about enough of your complaining.",,"約, およそ, 大略","liikkeellä, siellä täällä, ympäri, peräjälkeen, peräkanaa, peräkkäin, toiselle halssille, lähellä, noin, likimain, suunnilleen, ympäri, ympärille, ympärillä","около, приблизително, за","rundt, nesten",,,po,ynglŷn,,,"blizu, cirka, nedaleko, negdje na, negdje u, o, oko, okolo, otprilike, pri sebi, približno, sa sobom, skoro, u blizini, u krugu, u okolini, u pogledu, što se tiče","mindenfelé, körülbelül, közel, nem messze, megközelítôleg, közelben, körös-körül, táján, körül","concernere, circa, verso, intorno a",circa,"apie, maždaug, arti, aplink, aplinkui, (apie vietą) netoli, čia pat","over, aangaande",,"sobre, acerca de, a respeito de, quanto a, mais ou menos, aproximadamente, cerca de",,"о, приблизительно, примерно",,"angående, om, över, på, cirka, ungefär, ungefärlig, kring",,"(edat.) -(e) dair, hakkında, çevresine, etrafında, yakında, civarında, havalisinde, ötesinde berisinde, her yerinde, ile meşgul, için About facel (ask.), (emir.)  Geriye don (I.) about to come gelmek üzere  beat about the bush bin dereden su getirmek  about-face  geriye dönüş. fikir veya karar değişimi.She has a special air about her. Kendine özgü bir havası var.","belangende, oor, van, by benadering, omtrent, so, sowat"
above,əbouv,"au‐dessus de, dessus, en haut, sur","honrado, sincero","ऊँचा, Grades D and above are considered unsatisfactory.",,上,"yli nollan, ynnä, edellä, yllä, olla ylempiarvoinen kuin, ylempänä, yläpuolella, ylhäällä, korkealla, yli, yllä, päältä","отвъд, над, отгоре на, по-високо от, освен това, още повече, над, отгоре, по-горе, висш, над","høyere, ovenfor, over",,,přes,uchod,,lastuas,"gore, gore naveden, gore navedeni, gornji, iznad, nad, ne dalje nego, odozgo, preko, prethodni, više, više od","fenti, felett, fölé, fent, fent említett, fentebb, fentiekben, több mint, felül, elôbb említett","sopra, di sopra","super, supera","virš, ant, viršuje, daugiau, aukščiau",,,"sobre, acima, acima de, para cima",,"над, наверху, наверх",,"redlig, ärlig",,"daha yukarıda olarak, sıraca  önce olarak, rütbe veya iktidarca üstün  olarak above-board  doğru, hilesiz, aşikâr above ground yeryüzünde, toprağa gömülmemiş.","veral, hoofsaaklik"
abroad,əbrɔːd,"à l'étranger, dehors","enelextranjero, fuera","विदेश~में, He has relatives both in India and abroad. , प्रचलित, There is a rumour abroad that you are having a love affair with a girl.",,"海外, 国外","eksyksissä, laajalla, laajalle, ulkomailla, ulkomaille, vieras-, ulkona","навсякъде, чужбина, граница, странство, извън къщи, открито","utenlands, utanlands, utlandet",udenlands,,do ciziny,,,,"inozemstvo, iza granice, izvana, na sve strane, napolje, u inozemstvo, u inozemstvu, u tuđini, u zabludi, van, van kuće, vani, za granicom, široko","házon kívül, külföldön, idegen pályán, idegenben, külföldre, mindenfelé, széltében-hosszában","fuori, all'estero",,"užsienyje, į užsienį, plačiai, visur, (šnek.) paklydęs",,,"ao estrangeiro, fora, de fora, exterior",,за границей,иностранство,"ute, utomlands, utrikes",,"ortalıkta, halk arasında, dışarıda, dış memleketlerde, hariçte, şurada  burada, her tarafta, memleket dışına.",
absence,æbsəns,"absence, défaut, insuffisance, manque, privation, vice","ausencia, falta","अनुपस्थिति, In the absence of the Principal, I shall be in charge. ",,"無頓着, 不保持, 欠落, 不在, 欠席","poissaolo, poissaolo, hajamielisyys, puute, puuttuminen, poissaolo, tiedottomuus, poissaolo, ero","отсъ́ствие, ли́пса",,,,absence,absenoldeb,,,"izostajanje, izostanak, nedolazak, nedostatak, nejavljanje, nema, nepostojanje, odsustvo, odsutnost",hiány,"assenza, mancanza",,"nebuvimas, neatvykimas, trūkumas, stoka, neturėjimas",,,"ausência, falta, carência, falha",,,,"frånvaro, brist, lyte, saknad",,"gaybubet, yokluk, (huk.)  gaip oluş, gıyap, dalgınlık.","absensie, afwesigheid"
absent,æbsənt,absent,distraído,"अनुपस्थित, He always absent in the class.",,"いない, 欠席, 持つ, 無い","poissa (oleva), puuttuva, poissaoleva, olematon, puuttuva","отсъ́стващ, невнима́телен, отсъ́стващ, несъществу́ващ",,,,chybějící,absennol,,,"izostati, odsutan, rasijan, rastresen","hiányzó, távollévô",assente,absens,"nesantis, nedalyvaujantis, neatvykęs, nedalyvauti, nebūti, vengti (from), išsiblaškęs (apie žvilgsnį ir pan.)",,,ausente,,отсутствующий,отсутан,"frånvarande, fråvarande",,"çekilmek, hazır bulunmamak için çekilip gitmek  absent oneself gitmek, bulunmamak.","absent, afwesig"
